lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	1584.0	617.0	1734.0	1642.0	380.0	3075.0	5474.0	3859.0	1303.0	5507.0	2656.0	3207.0	1907.0	4208.0	732.0	1352.0	2124.0	828.0	1969.0	1273.0	4162.0	1126.0	4774.0	4143.0	774.0	6233.0	8067.0	5644.0	4459.0	4597.0	313.0	495.0	436.0	2624.0	93265.0	1235952.0	1560838.764254
sub-0002	1019.0	552.0	2108.0	1625.0	404.0	3020.0	4614.0	3735.0	812.0	5446.0	2364.0	2889.0	1700.0	3604.0	610.0	1488.0	1896.0	662.0	1412.0	1327.0	4080.0	1157.0	4288.0	3208.0	681.0	4853.0	7018.0	5026.0	3918.0	4209.0	273.0	373.0	423.0	2049.0	82825.1	1056970.0	1115228.151399
sub-0003	916.0	506.0	1920.0	1064.0	409.0	2745.0	4023.0	3145.0	844.0	3693.0	2091.0	2033.0	1454.0	2953.0	667.0	1257.0	1271.0	592.0	1088.0	1046.0	3133.0	960.0	4317.0	3532.0	722.0	4386.0	6301.0	4231.0	3331.0	3263.0	216.0	440.0	387.0	2108.0	71028.1	945765.0	1186697.257955
sub-0004	905.0	403.0	1601.0	1255.0	481.0	2689.0	3546.0	3219.0	770.0	4199.0	2218.0	2307.0	1384.0	2818.0	595.0	1255.0	1562.0	678.0	1398.0	1132.0	2999.0	899.0	3770.0	3786.0	489.0	4367.0	5757.0	4808.0	3364.0	3065.0	271.0	467.0	413.0	2082.0	70952.9	973916.0	952776.991909
sub-0005	1096.0	573.0	2041.0	1493.0	343.0	2812.0	4797.0	3089.0	1023.0	5137.0	2775.0	3054.0	1897.0	3240.0	713.0	1307.0	1478.0	707.0	1250.0	1447.0	3814.0	1415.0	4514.0	3865.0	580.0	6184.0	6995.0	5438.0	3741.0	3319.0	252.0	444.0	420.0	2076.0	83325.1	1089881.0	1497742.976131
sub-0006	1047.0	464.0	2427.0	1616.0	512.0	3478.0	4970.0	3758.0	1199.0	6443.0	2601.0	3502.0	1943.0	3338.0	589.0	1123.0	1395.0	665.0	1339.0	1586.0	4585.0	1052.0	4743.0	4023.0	887.0	6588.0	7621.0	5458.0	4419.0	5156.0	261.0	546.0	514.0	2529.0	92368.2	1281422.0	1441004.6407
sub-0007	808.0	369.0	1633.0	1524.0	458.0	2769.0	4655.0	2970.0	926.0	4837.0	1868.0	2573.0	1264.0	2650.0	539.0	1058.0	1323.0	615.0	1283.0	1029.0	3318.0	712.0	3442.0	3178.0	553.0	4986.0	5700.0	5087.0	3094.0	2648.0	314.0	436.0	352.0	1661.0	70631.2	916439.0	927712.749474
sub-0008	1225.0	644.0	2203.0	1783.0	666.0	3277.0	4310.0	3913.0	1021.0	5280.0	2797.0	3105.0	2111.0	3619.0	698.0	1531.0	1604.0	726.0	1451.0	1278.0	4619.0	1193.0	5097.0	4587.0	928.0	5381.0	8799.0	6592.0	3885.0	5675.0	278.0	565.0	374.0	2445.0	93656.9	1254394.0	1604284.294118
sub-0009	876.0	596.0	1820.0	1164.0	282.0	2713.0	4156.0	2645.0	833.0	4210.0	2503.0	2555.0	1538.0	2647.0	613.0	1327.0	1533.0	572.0	1280.0	1208.0	3262.0	1112.0	3505.0	3164.0	683.0	4420.0	6716.0	4747.0	3225.0	3458.0	210.0	412.0	343.0	2092.0	72418.8	919357.0	924942.844516
sub-0010	1071.0	442.0	2557.0	1473.0	564.0	2838.0	4097.0	3619.0	885.0	4750.0	2486.0	3436.0	1745.0	3454.0	687.0	1229.0	1662.0	642.0	1336.0	1375.0	4063.0	1082.0	5023.0	3820.0	548.0	5910.0	7334.0	5428.0	4084.0	4154.0	231.0	469.0	436.0	2160.0	85084.3	1115137.0	1332963.907826
sub-0011	826.0	371.0	1722.0	1296.0	325.0	2365.0	3604.0	2344.0	915.0	4280.0	2013.0	2272.0	1293.0	2432.0	585.0	1224.0	1588.0	576.0	1215.0	999.0	3294.0	922.0	4292.0	3217.0	533.0	4196.0	5824.0	4936.0	3321.0	4210.0	223.0	410.0	454.0	1887.0	69884.2	916414.0	1050308.739903
sub-0012	914.0	508.0	2078.0	1801.0	475.0	2965.0	4760.0	3291.0	793.0	5413.0	2442.0	2768.0	1813.0	2934.0	621.0	1503.0	1508.0	611.0	1011.0	1566.0	4217.0	1051.0	4695.0	3893.0	676.0	4806.0	6905.0	5414.0	3272.0	3589.0	257.0	472.0	351.0	2000.0	81365.6	1093680.0	1174483.265912
sub-0013	1170.0	596.0	2150.0	1523.0	423.0	3482.0	4427.0	3164.0	1206.0	5155.0	2880.0	2706.0	1816.0	3204.0	606.0	1383.0	2018.0	761.0	1650.0	1519.0	4382.0	1429.0	4546.0	4289.0	1035.0	6588.0	7637.0	6050.0	4265.0	5431.0	291.0	414.0	575.0	2429.0	91197.8	1245924.0	1575330.67754
sub-0014	886.0	499.0	2462.0	1385.0	535.0	3002.0	4125.0	2958.0	983.0	4790.0	2498.0	3253.0	1805.0	2855.0	753.0	1152.0	1258.0	688.0	1230.0	1373.0	3872.0	1055.0	4545.0	3479.0	528.0	5109.0	6651.0	4641.0	3592.0	3666.0	222.0	483.0	388.0	2127.0	78845.8	1087763.0	1206059.232953
sub-0015	921.0	608.0	2529.0	1629.0	482.0	3169.0	4602.0	3172.0	927.0	5630.0	2496.0	3133.0	1945.0	2946.0	579.0	1302.0	1894.0	619.0	1434.0	1180.0	4227.0	1253.0	4706.0	4029.0	971.0	5898.0	7973.0	6288.0	3767.0	3912.0	240.0	449.0	413.0	2221.0	87537.6	1157625.0	1400508.836146
sub-0016	996.0	549.0	2010.0	1474.0	374.0	2995.0	3990.0	3004.0	943.0	4282.0	2343.0	3166.0	1597.0	2696.0	627.0	1244.0	1554.0	604.0	1438.0	1421.0	3695.0	979.0	3925.0	3449.0	687.0	5551.0	6303.0	4737.0	3296.0	4087.0	261.0	409.0	372.0	1968.0	77023.7	1078694.0	1226969.408346
sub-0017	770.0	570.0	1591.0	1532.0	341.0	2602.0	3657.0	2562.0	851.0	4399.0	2218.0	3041.0	1703.0	2559.0	515.0	1093.0	1443.0	702.0	1427.0	1551.0	3960.0	873.0	4651.0	3001.0	707.0	4101.0	6708.0	4620.0	3263.0	2678.0	224.0	357.0	377.0	1954.0	72602.5	975124.0	1223580.126877
sub-0018	1425.0	533.0	2489.0	1450.0	571.0	3579.0	5165.0	3665.0	889.0	5191.0	2688.0	2742.0	1859.0	3623.0	864.0	1480.0	1516.0	792.0	1283.0	1195.0	4644.0	975.0	5325.0	4946.0	902.0	5752.0	7214.0	6195.0	4826.0	4847.0	268.0	414.0	508.0	2383.0	92200.1	1205241.0	1420234.794428
sub-0019	933.0	443.0	2221.0	1234.0	404.0	2647.0	3738.0	2526.0	774.0	4327.0	2080.0	2768.0	1628.0	2642.0	581.0	1205.0	1767.0	695.0	1316.0	1188.0	3634.0	930.0	4078.0	3119.0	560.0	4503.0	6413.0	5080.0	3377.0	3047.0	235.0	442.0	385.0	2013.0	72841.1	971395.0	962037.916402
sub-0020	936.0	774.0	2625.0	1249.0	388.0	3117.0	4110.0	2960.0	975.0	4733.0	2909.0	2968.0	1753.0	3135.0	736.0	1421.0	1801.0	742.0	1466.0	1110.0	4174.0	1427.0	4952.0	4465.0	1080.0	5471.0	7746.0	7466.0	4715.0	3971.0	250.0	514.0	458.0	2305.0	88896.5	1141418.0	1241908.211028
sub-0021	1506.0	641.0	2206.0	1514.0	577.0	3314.0	5846.0	3887.0	1093.0	5413.0	2948.0	2413.0	1899.0	3669.0	783.0	1632.0	1549.0	817.0	1075.0	1167.0	4125.0	1062.0	4739.0	4488.0	899.0	6079.0	8314.0	5463.0	4550.0	4054.0	247.0	552.0	474.0	2291.0	91259.1	1211298.0	1268981.067234
sub-0022	882.0	609.0	1857.0	1623.0	473.0	3155.0	3703.0	2857.0	899.0	5258.0	2344.0	2839.0	1482.0	2692.0	583.0	1216.0	1579.0	662.0	1350.0	1364.0	3467.0	1062.0	4587.0	3443.0	751.0	5119.0	7223.0	5658.0	3502.0	3101.0	232.0	466.0	441.0	2023.0	78494.7	1116051.0	1189521.862383
sub-0023	1187.0	489.0	2418.0	1804.0	588.0	3218.0	4676.0	3542.0	1360.0	5579.0	2660.0	2956.0	2207.0	3658.0	738.0	1447.0	1708.0	689.0	1334.0	1161.0	4540.0	1534.0	5124.0	4526.0	840.0	5987.0	9182.0	6784.0	4463.0	5436.0	312.0	514.0	414.0	2376.0	95439.8	1424017.0	1678356.032306
sub-0024	1019.0	529.0	2493.0	1700.0	564.0	3374.0	4373.0	3413.0	939.0	6050.0	2538.0	3059.0	1835.0	3136.0	589.0	1279.0	1412.0	748.0	1244.0	1477.0	4429.0	1058.0	4734.0	3403.0	707.0	6040.0	7425.0	6075.0	3692.0	3644.0	308.0	574.0	354.0	2456.0	86603.6	1166575.0	1298269.115385
